,longitude,latitude,postvz_sg,street,speed_limit
0,-73.98989832599995,40.77790445900007,1,12 AVENUE,50
1,-73.98943021599996,40.77854581200006,1,12 AVENUE,50
2,-73.98931987799995,40.74192220400005,0,5 AVENUE,25
3,-73.98927001899995,40.742280564000055,0,5 AVENUE,25
4,-73.98484079399998,40.71768230500004,0,ATTORNEY STREET,25
5,-73.98423318099998,40.71883569600004,0,ATTORNEY STREET,25
6,-73.95528377099998,40.788592728000026,0,97 ST TRANSVERSE,25
7,-73.95700948599995,40.78932072300006,0,97 ST TRANSVERSE,25
8,-73.95841683399993,40.820633987000065,0,12 AVENUE,25
9,-73.95791226199998,40.82130171800003,0,12 AVENUE,25
10,-73.92680081099996,40.85372543100004,0,AMSTERDAM AVENUE,25
11,-73.92469343099998,40.85665028500006,0,AMSTERDAM AVENUE,25
12,-73.99282317899997,40.714373487000046,0,ALLEN STREET,25
13,-73.99290274599997,40.71457215400005,0,ALLEN STREET,25
14,-73.99301732899994,40.71436388200004,0,ALLEN STREET,25
15,-73.99290274599997,40.71457215400005,0,ALLEN STREET,25
16,-74.01495501999995,40.69126836800007,0,ANDES ROAD,25
17,-74.01543067699998,40.69130695500007,0,ANDES ROAD,25
18,-73.96294755099996,40.79175912000005,0,97 ST TRANSVERSE,25
19,-73.96321125599997,40.79185860200005,0,97 ST TRANSVERSE,25
20,-73.96346744199997,40.791970039000034,0,97 ST TRANSVERSE,25
21,-73.96371471299994,40.792092928000045,0,97 ST TRANSVERSE,25
22,-73.96395177699998,40.79222660000005,0,97 ST TRANSVERSE,25
23,-73.96417742499995,40.79237031900004,0,97 ST TRANSVERSE,25
24,-73.96091159999997,40.780865307000056,0,86 ST TRANSVERSE,25
25,-73.96259212199993,40.78144328800005,0,86 ST TRANSVERSE,25
26,-73.99469886599996,40.77077579300004,1,12 AVENUE,35
27,-73.99462056599998,40.77114060200006,1,12 AVENUE,35
28,-73.99449105999997,40.771500194000055,1,12 AVENUE,35
29,-73.93601375099996,40.82603335500005,1,ADAM CLAYTON POWELL JR BOULEVARD,25
30,-73.93584589899996,40.82607298200003,1,ADAM CLAYTON POWELL JR BOULEVARD,25
31,-73.93579615999994,40.825935908000076,1,ADAM CLAYTON POWELL JR BOULEVARD,25
32,-73.93584589899996,40.82607298200003,1,ADAM CLAYTON POWELL JR BOULEVARD,25
33,-73.93463933499999,40.81691632800005,0,5 AVENUE,25
34,-73.93434082299996,40.81693698600003,0,5 AVENUE,25
35,-73.99372679499999,40.77287246700007,1,12 AVENUE,50
36,-73.99362967699994,40.773001918000034,1,12 AVENUE,50
37,-73.99594360599997,40.768130470000074,1,12 AVENUE,35
38,-73.99505668299997,40.76935244600003,1,12 AVENUE,35
39,-74.00338409799997,40.75893804400005,1,12 AVENUE,35
40,-74.00316129399994,40.759246519000044,1,12 AVENUE,35
41,-74.00685562399997,40.75455119700007,1,12 AVENUE,35
42,-74.00584964899997,40.75594429800003,1,12 AVENUE,35
43,-74.00785396999999,40.747972901000026,1,12 AVENUE,35
44,-74.00781684899994,40.748382768000056,1,12 AVENUE,35
45,-74.00844447999998,40.744737239000074,1,11 AVENUE,35
46,-74.00831073099994,40.74546213900004,1,11 AVENUE,35
47,-73.97542183299998,40.73301370400003,0,20 STREET LOOP,25
48,-73.97536315699995,40.733096610000075,0,20 STREET LOOP,25
49,-73.97770018699998,40.73409016700003,0,20 STREET LOOP,25
50,-73.97776046299998,40.73399862400004,0,20 STREET LOOP,25
51,-73.96777849499995,40.75163423600003,1,1 AVENUE,25
52,-73.96768089799997,40.75168131400005,1,1 AVENUE,25
53,-73.96777849499995,40.75163423600003,1,1 AVENUE,25
54,-73.96779846299995,40.75172531900006,1,1 AVENUE,25
55,-73.96964388399994,40.74916633700008,1,1 AVENUE,25
56,-73.96954604599995,40.74921331000007,1,1 AVENUE,25
57,-73.96952344499994,40.74912685500004,1,1 AVENUE,25
58,-73.96954604599995,40.74921331000007,1,1 AVENUE,25
59,-74.00258577199997,40.76041618100004,1,12 AVENUE,35
60,-74.00228745199996,40.76082321500007,1,12 AVENUE,35
61,-74.00729261999999,40.75310740700007,1,12 AVENUE,35
62,-74.00702706299995,40.753800795000075,1,12 AVENUE,35
63,-74.00786788499994,40.74681174300008,1,11 AVENUE,35
64,-74.00771859999998,40.74751194900006,1,11 AVENUE,35
65,-74.00889484999993,40.74239242900006,1,11 AVENUE,35
66,-74.00873511599997,40.743234950000044,1,11 AVENUE,35
67,-74.00259338399997,40.76004248000004,1,12 AVENUE,35
68,-74.00253311799997,40.76011712400003,1,12 AVENUE,35
69,-74.01699666699994,40.70580829800008,0,1 PLACE,25
70,-74.01793206499997,40.70618312000005,0,1 PLACE,25
71,-73.99473499399994,40.77150673400007,1,12 AVENUE,50
72,-73.99411763699999,40.772333573000026,1,12 AVENUE,50
73,-73.98748865599998,40.781023668000046,1,12 AVENUE,50
74,-73.98741577399994,40.78109578200008,1,12 AVENUE,50
75,-73.99102554899997,40.723657692000074,0,2 AVENUE,25
76,-73.99102602199997,40.723743582000054,0,2 AVENUE,25
77,-73.99102602199997,40.723743582000054,1,2 AVENUE,25
78,-73.99099633499998,40.72401733400005,1,2 AVENUE,25
79,-73.99123285599995,40.723801896000055,1,2 AVENUE,25
80,-73.99099633499998,40.72401733400005,1,2 AVENUE,25
81,-73.92307752599999,40.78499962400008,0,6 DRIVE,25
82,-73.92304374399998,40.78505664700003,0,6 DRIVE,25
83,-74.00767831699994,40.74785773600007,1,11 AVENUE,35
84,-74.00763848899999,40.748184611000056,1,11 AVENUE,35
85,-73.91169038899994,40.87281722300003,0,9 AVENUE,25
86,-73.91198589999993,40.872815306000064,0,9 AVENUE,25
